Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,num_cc,num_price
Chevrolet,Silverado 3500HD,6.6L V8 Diesel,6600 cc,445 hp,160 km/h,8.5 sec,"$45,500 ",Diesel,6,1234 Nm,6600.0,45500.0
Chevrolet,Bolt EV,Single Electric Motor,66 kWh,200 hp,150 km/h,6.5 sec,"$27,495 ",Electric,5,360 Nm,66.0,27495.0
Chevrolet,Bolt EUV,Single Electric Motor,66 kWh,200 hp,150 km/h,7.0 sec,"$28,795 ",Electric,5,360 Nm,66.0,28795.0
Chevrolet,Trailblazer,1.3L Turbo Inline-3 Gasoline,1300 cc,155 hp,200 km/h,9.4 sec,"$23,100 ",Petrol,5,236 Nm,1300.0,23100.0
Chevrolet,Malibu Premier,2.0L Turbo Inline-4 Gasoline,2000 cc,250 hp,240 km/h,5.8 sec,"$33,500 ",Petrol,5,353 Nm,2000.0,33500.0
Chevrolet,Camaro ZL1,6.2L Supercharged V8 Gasoline,6200 cc,650 hp,318 km/h,3.5 sec,"$67,300 ",Petrol,4,881 Nm,6200.0,67300.0
Chevrolet,Corvette Stingray,6.2L V8 Gasoline,6200 cc,495 hp,312 km/h,3.0 sec,"$65,895 ",Petrol,2,637 Nm,6200.0,65895.0
Chevrolet,Silverado 1500 High Country,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.0 sec,"$61,595 ",Petrol,6,519 Nm,5300.0,61595.0
Chevrolet,Silverado 1500 Trail Boss,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.0 sec,"$55,895 ",Petrol,6,519 Nm,5300.0,55895.0
Chevrolet,Silverado 1500 RST,5.3L V8 Gasoline,5300 cc,355 hp,180 km/h,7.1 sec,"$50,895 ",Petrol,6,519 Nm,5300.0,50895.0
Chevrolet,Colorado ZR2,2.8L Turbo Diesel I4,2800 cc,181 hp,160 km/h,9.1 sec,"$48,295 ",Diesel,5,500 Nm,2800.0,48295.0
Chevrolet,Traverse Premier,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,7.0 sec,"$46,600 ",Petrol,7,360 Nm,3600.0,46600.0
Chevrolet,Equinox Premier,1.5L Turbo Inline-4 Gasoline,1500 cc,170 hp,200 km/h,8.8 sec,"$33,400 ",Petrol,5,275 Nm,1500.0,33400.0
Chevrolet,Blazer RS,3.6L V6 Gasoline,3600 cc,308 hp,220 km/h,6.6 sec,"$48,900 ",Petrol,5,366 Nm,3600.0,48900.0
Chevrolet,Bolt EV 2LT,Single Electric Motor,66 kWh,200 hp,150 km/h,6.7 sec,"$28,795 ",Electric,5,360 Nm,66.0,28795.0
Chevrolet,Camaro SS,6.2L V8 Gasoline,6200 cc,455 hp,290 km/h,4.3 sec,"$43,500 ",Petrol,4,617 Nm,6200.0,43500.0
Chevrolet,Corvette Grand Sport,6.2L V8 Gasoline,6200 cc,460 hp,290 km/h,3.9 sec,"$65,900 ",Petrol,2,630 Nm,6200.0,65900.0
Chevrolet,Traverse RS,3.6L V6 Gasoline,3600 cc,310 hp,210 km/h,7.0 sec,"$43,700 ",Petrol,7,360 Nm,3600.0,43700.0
Chevrolet,Blazer Premier,3.6L V6 Gasoline,3600 cc,308 hp,220 km/h,6.6 sec,"$45,000 ",Petrol,5,366 Nm,3600.0,45000.0
Chevrolet,Malibu LT,1.5L Turbo Inline-4 Gasoline,1500 cc,160 hp,210 km/h,8.5 sec,"$25,800 ",Petrol,5,250 Nm,1500.0,25800.0
Chevrolet,Spark Activ,1.4L Inline-4 Gasoline,1400 cc,98 hp,180 km/h,11.0 sec,"$17,595 ",Petrol,5,127 Nm,1400.0,17595.0
Chevrolet,Trax LT,1.2L Turbo Inline-3 Gasoline,1200 cc,137 hp,200 km/h,9.2 sec,"$24,100 ",Petrol,5,220 Nm,1200.0,24100.0
Chevrolet,Equinox LT,1.5L Turbo Inline-4 Gasoline,1500 cc,170 hp,200 km/h,8.9 sec,"$28,400 ",Petrol,5,275 Nm,1500.0,28400.0
Chevrolet,Silverado 3500HD High Country,6.6L V8 Diesel,6600 cc,445 hp,160 km/h,8.5 sec,"$75,700 ",Diesel,6,1234 Nm,6600.0,75700.0
Chevrolet,Colorado WT,2.7L Turbo Inline-4 Gasoline,2700 cc,310 hp,190 km/h,6.9 sec,"$29,200 ",Petrol,5,583 Nm,2700.0,29200.0
